time (seconds),accelerometer X (m/sec^2 highlighted),accelerometer Y (m/sec^2 highlighted),accelerometer Z (m/sec^2 highlighted)
3.216,-0.59,-9.8,0.06
3.232,-0.6,-9.73,-0.04
3.248,-0.55,-9.87,-0.09
3.264,-0.43,-9.88,0.0
3.28,-0.63,-9.83,-0.03
3.296,-0.6,-9.87,0.03
3.312,-0.59,-9.83,0.0
3.328,-0.55,-9.79,0.09
3.344,-0.57,-9.91,0.1
3.36,-0.65,-9.85,-0.05
3.376,-0.5,-9.89,0.02
3.392,-0.56,-9.8,-0.03
3.408,-0.61,-9.8,0.06
3.424,-0.59,-9.74,0.02
3.44,-0.58,-9.85,-0.01
3.456,-0.59,-9.79,-0.03
3.472,-0.55,-9.85,0.02
3.488,-0.47,-9.89,-0.05
3.504,-0.51,-9.84,0.05
3.52,-0.55,-9.81,0.03
3.536,-0.45,-9.75,-0.11
3.552,-0.55,-9.83,-0.0
3.568,-0.54,-9.88,0.11
3.584,-0.55,-9.79,-0.03
3.6,-0.51,-9.87,0.1
3.616,-0.47,-9.95,-0.02
3.632,-0.57,-9.82,0.07
3.648,-0.52,-9.77,0.0
3.664,-0.38,-9.79,0.06
3.68,-0.54,-9.82,0.03
3.696,-0.47,-9.88,-0.01
3.712,-0.5,-9.79,0.03
3.728,-0.5,-9.79,0.02
3.744,-0.52,-9.9,0.08
3.76,-0.55,-9.78,-0.1
3.776,-0.52,-9.84,-0.05
3.792,-0.53,-9.88,0.01
3.808,-0.5,-9.79,0.05
3.824,-0.43,-9.82,0.08
3.84,-0.57,-9.81,0.13
3.856,-0.48,-9.73,-0.06
3.872,-0.48,-9.88,0.15
3.888,-0.55,-9.8,-0.04
3.904,-0.62,-9.83,0.03
3.92,-0.55,-9.81,0.09
3.936,-0.62,-9.87,0.2
3.952,-0.55,-9.92,0.03
3.968,-0.58,-9.94,0.03
3.984,-0.49,-9.85,0.07
4.0,-0.52,-9.9,0.09
4.016,-0.62,-9.95,-0.0
4.032,-0.5,-9.85,0.12
4.048,-0.47,-9.87,-0.07
4.064,-0.62,-9.84,0.07
4.08,-0.48,-9.87,0.05
4.096,-0.63,-9.86,0.04
4.112,-0.55,-9.86,0.14
4.128,-0.53,-9.85,0.05
4.144,-0.51,-9.92,0.02
4.16,-0.52,-9.84,0.1
4.176,-0.45,-9.88,0.12
4.192,-0.47,-9.9,0.03
4.208,-0.49,-9.87,0.02
4.224,-0.46,-9.79,-0.05
4.24,-0.54,-9.84,0.02
4.256,-0.47,-9.82,0.06
4.272,-0.48,-9.81,0.01
4.288,-0.38,-9.77,-0.1
4.304,-0.45,-9.81,-0.06
4.32,-0.4,-9.74,-0.09
4.336,-0.44,-9.83,0.04
4.352,-0.49,-9.71,0.02
4.368,-0.39,-9.8,-0.1
4.384,-0.39,-9.79,0.08
4.4,-0.44,-9.78,0.01
4.416,-0.56,-9.82,-0.02
4.432,-0.48,-9.79,-0.11
4.448,-0.38,-9.79,-0.02
4.464,-0.41,-9.82,0.05
4.48,-0.42,-9.77,0.02
4.496,-0.43,-9.82,-0.2
4.512,-0.46,-9.84,-0.05
4.528,-0.45,-9.86,-0.01
4.544,-0.4,-9.79,-0.09
4.56,-0.51,-9.8,-0.06
4.576,-0.4,-9.88,0.01
4.592,-0.43,-9.87,0.07
4.608,-0.51,-9.87,0.03
4.624,-0.45,-9.77,0.08
4.64,-0.43,-9.76,-0.03
4.656,-0.46,-9.82,-0.01
4.672,-0.49,-9.86,-0.14
4.688,-0.53,-9.81,0.0
4.704,-0.52,-9.75,0.01
4.72,-0.49,-9.83,0.0
4.736,-0.52,-9.8,-0.03
4.752,-0.43,-9.87,-0.05
4.768,-0.48,-9.89,-0.01
4.784,-0.58,-9.82,0.07
4.8,-0.48,-9.82,-0.11
4.816,-0.49,-9.81,-0.01
4.832,-0.5,-9.95,0.07
4.848,-0.48,-9.78,-0.05
4.864,-0.46,-9.78,0.01
4.88,-0.46,-9.75,0.02
4.896,-0.44,-9.82,-0.11
4.912,-0.44,-9.78,0.08
4.928,-0.43,-9.97,0.13
4.944,-0.43,-9.84,0.17
4.96,-0.46,-9.83,-0.07
4.976,-0.42,-9.91,0.01
4.992,-0.41,-9.83,0.03
5.008,-0.5,-9.82,0.03
5.024,-0.47,-9.82,-0.06
5.04,-0.49,-9.76,-0.09
5.056,-0.45,-9.86,0.0
5.072,-0.37,-9.88,-0.04
5.088,-0.4,-9.86,0.04
5.104,-0.45,-9.85,-0.0
5.12,-0.41,-9.83,0.03
5.136,-0.41,-9.81,0.12
5.152,-0.43,-9.86,-0.0
5.168,-0.45,-9.76,0.03
5.184,-0.42,-9.8,0.01
5.2,-0.38,-9.77,-0.03
5.216,-0.4,-9.74,0.12
5.232,-0.36,-9.83,-0.01
5.248,-0.31,-9.81,-0.12
5.264,-0.34,-9.82,-0.03
5.28,-0.33,-9.88,-0.03
5.296,-0.4,-9.84,-0.12
5.312,-0.29,-9.81,-0.1
5.328,-0.37,-9.78,-0.02
5.344,-0.35,-9.86,0.17
5.36,-0.49,-9.79,0.08
5.376,-0.41,-9.83,-0.01
5.392,-0.38,-9.81,-0.05
5.408,-0.44,-9.85,-0.1
5.424,-0.43,-9.8,0.07
5.44,-0.44,-9.8,-0.02
5.456,-0.35,-9.75,-0.07
5.472,-0.46,-9.73,-0.01
5.488,-0.49,-9.87,-0.01
5.504,-0.43,-9.86,0.09
5.52,-0.49,-9.93,-0.07
5.536,-0.4,-9.78,-0.14
5.552,-0.5,-9.8,0.01
5.568,-0.43,-9.76,-0.09
5.584,-0.48,-9.94,-0.06
5.6,-0.43,-9.82,0.04
5.616,-0.39,-9.84,-0.01
5.632,-0.45,-9.79,-0.1
5.648,-0.35,-9.81,-0.03
5.664,-0.34,-9.77,-0.12
5.68,-0.42,-9.89,-0.05
5.696,-0.4,-9.83,-0.1
5.712,-0.46,-9.83,-0.09
5.728,-0.33,-9.78,-0.12
5.744,-0.33,-9.83,-0.15
5.76,-0.39,-9.76,-0.07
5.776,-0.35,-9.82,-0.03
5.792,-0.41,-9.81,-0.0
5.808,-0.44,-9.78,0.14
5.824,-0.37,-9.84,-0.15
5.84,-0.51,-9.8,-0.15
5.856,-0.44,-9.84,-0.11
5.872,-0.41,-9.83,-0.08
5.888,-0.49,-9.91,-0.12
5.904,-0.35,-9.82,-0.1
5.92,-0.33,-9.84,-0.02
5.936,-0.37,-9.78,0.01
5.952,-0.36,-9.74,-0.02
5.968,-0.38,-9.81,-0.01
5.984,-0.33,-9.8,-0.02
6.0,-0.35,-9.84,-0.08
6.016,-0.29,-9.84,-0.01
6.032,-0.34,-9.84,-0.11
6.048,-0.28,-9.83,-0.08
6.064,-0.46,-9.79,-0.04
6.08,-0.4,-9.74,0.03
6.096,-0.35,-9.77,-0.06
6.112,-0.2,-9.82,-0.12
6.128,-0.42,-9.81,0.11
6.144,-0.25,-9.93,0.02
6.16,-0.34,-9.74,0.02
6.176,-0.3,-9.72,-0.05
6.192,-0.39,-9.81,0.08
6.208,-0.34,-9.82,0.07
6.224,-0.36,-9.92,0.01
6.24,-0.39,-9.84,0.01
6.256,-0.38,-9.87,0.06
6.272,-0.36,-9.87,0.06
6.288,-0.33,-9.85,0.01
6.304,-0.34,-9.83,-0.05
6.32,-0.41,-9.77,-0.07
6.336,-0.34,-9.78,0.11
6.352,-0.37,-9.83,0.03
6.368,-0.46,-9.84,0.02
6.384,-0.31,-9.84,-0.06
6.4,-0.37,-9.79,0.1
6.416,-0.38,-9.83,0.06
6.432,-0.37,-9.91,-0.0
6.448,-0.42,-9.94,-0.19
6.464,-0.46,-9.8,0.07
6.48,-0.41,-9.8,-0.1
6.496,-0.44,-9.86,-0.03
6.512,-0.38,-9.79,-0.11
6.528,-0.45,-9.8,-0.07
6.544,-0.36,-9.8,-0.1
6.56,-0.48,-9.81,-0.05
6.576,-0.36,-9.78,-0.08
6.592,-0.38,-9.85,0.07
6.608,-0.33,-9.74,0.11
6.624,-0.32,-9.82,-0.11
6.64,-0.36,-9.74,-0.01
6.656,-0.31,-9.79,0.07
6.672,-0.33,-9.82,-0.05
6.688,-0.24,-9.72,0.03
6.704,-0.36,-9.85,-0.13
6.72,-0.34,-9.89,-0.08
6.736,-0.3,-9.8,-0.09
6.752,-0.29,-9.84,-0.05
6.768,-0.39,-9.84,-0.01
6.784,-0.41,-9.85,-0.11
6.8,-0.28,-9.78,-0.06
6.816,-0.36,-9.8,-0.15
6.832,-0.36,-9.82,-0.19
6.848,-0.34,-9.92,-0.07
6.864,-0.36,-9.77,-0.18
6.88,-0.37,-9.81,-0.11
6.896,-0.28,-9.9,-0.08
6.912,-0.33,-9.86,-0.05
6.928,-0.3,-9.87,-0.16
6.944,-0.36,-9.8,-0.06
6.96,-0.31,-9.88,-0.03
6.976,-0.26,-9.81,-0.1
6.992,-0.35,-9.82,0.01
7.008,-0.3,-9.91,-0.23
7.024,-0.31,-9.88,-0.15
7.04,-0.27,-9.79,-0.09
7.056,-0.31,-9.8,-0.11
7.072,-0.36,-9.79,-0.13
7.088,-0.28,-9.84,-0.01
7.104,-0.37,-9.78,-0.02
7.12,-0.43,-9.88,0.0
7.136,-0.36,-9.86,-0.14
7.152,-0.38,-9.75,-0.03
7.168,-0.34,-9.83,-0.16
7.184,-0.38,-9.86,-0.09
7.2,-0.35,-9.89,-0.07
7.216,-0.45,-9.82,-0.05
7.232,-0.38,-9.77,-0.07
7.248,-0.35,-9.92,-0.0
7.264,-0.39,-9.81,0.0
7.28,-0.31,-9.8,-0.06
7.296,-0.43,-9.78,-0.13
7.312,-0.34,-9.82,-0.12
7.328,-0.37,-9.8,-0.08
7.344,-0.37,-9.8,0.01
7.36,-0.33,-9.76,-0.05
7.376,-0.36,-9.78,-0.11
7.392,-0.37,-9.83,0.06
7.408,-0.29,-9.87,-0.04
7.424,-0.28,-9.92,-0.12
7.44,-0.4,-9.79,0.08
7.456,-0.37,-9.92,-0.07
7.472,-0.41,-9.84,0.08
7.488,-0.41,-9.79,0.01
7.504,-0.32,-9.84,0.09
7.52,-0.34,-9.86,0.06
7.536,-0.3,-9.83,0.05
7.552,-0.37,-9.81,-0.09
7.568,-0.27,-9.83,-0.09
7.584,-0.3,-9.85,0.11
7.6,-0.34,-9.73,-0.05
7.616,-0.31,-9.79,0.01
7.632,-0.18,-9.9,-0.05
7.648,-0.24,-9.85,0.1
7.664,-0.21,-9.92,0.04
7.68,-0.27,-9.8,-0.13
7.696,-0.33,-9.86,0.02
7.712,-0.2,-9.85,-0.01
7.728,-0.24,-9.84,-0.01
7.744,-0.25,-9.83,-0.11
7.76,-0.27,-9.75,0.02
7.776,-0.27,-9.77,0.02
7.792,-0.26,-9.85,0.02
7.808,-0.38,-9.92,-0.11
7.824,-0.21,-9.73,-0.24
7.84,-0.25,-9.83,0.04
7.856,-0.33,-9.8,0.01
7.872,-0.29,-9.83,0.1
7.888,-0.37,-9.81,-0.11
7.904,-0.29,-9.74,0.03
7.92,-0.27,-9.76,-0.06
7.936,-0.23,-9.86,0.04
7.952,-0.29,-9.79,-0.02
7.968,-0.3,-9.81,0.0
7.984,-0.31,-9.79,-0.16
8.0,-0.3,-9.87,-0.18
8.016,-0.32,-9.92,-0.11
8.032,-0.28,-9.79,-0.13
8.048,-0.3,-9.85,-0.01
8.064,-0.32,-9.85,-0.17
8.08,-0.33,-9.81,0.1
8.096,-0.25,-9.87,-0.01
8.112,-0.41,-9.89,-0.09
8.128,-0.31,-9.82,-0.14
8.144,-0.42,-9.82,0.0
8.16,-0.2,-9.8,-0.02
8.176,-0.38,-9.85,-0.07
8.192,-0.35,-9.82,-0.14
8.208,-0.33,-9.86,-0.06
8.224,-0.31,-9.8,-0.23
8.24,-0.38,-9.8,-0.09
8.256,-0.24,-9.77,-0.11
8.272,-0.32,-9.81,-0.15
8.288,-0.28,-9.83,-0.11
8.304,-0.2,-9.77,-0.1
8.32,-0.33,-9.85,-0.14
8.336,-0.22,-9.83,0.05
8.352,-0.2,-9.86,-0.12
8.368,-0.25,-9.82,-0.14
8.384,-0.31,-9.9,-0.02
8.4,-0.17,-9.87,-0.12
8.416,-0.22,-9.85,-0.13
8.432,-0.31,-9.79,0.01
8.448,-0.28,-9.8,-0.02
8.464,-0.24,-9.86,-0.14
8.48,-0.25,-9.84,0.03
8.496,-0.31,-9.84,-0.05
8.512,-0.28,-9.8,-0.1
8.528,-0.2,-9.83,-0.12
8.544,-0.22,-9.86,0.05
8.56,-0.36,-9.84,-0.03
8.576,-0.11,-9.64,0.04
8.592,-0.22,-9.86,-0.01
8.608,-0.24,-9.8,-0.04
8.624,-0.23,-9.85,-0.07
8.64,-0.19,-9.78,-0.03
8.656,-0.27,-9.81,-0.0
8.672,-0.23,-9.84,-0.05
8.688,-0.19,-9.77,-0.03
8.704,-0.2,-9.86,-0.1
8.72,-0.29,-9.84,-0.07
8.736,-0.25,-9.73,0.04
8.752,-0.23,-9.87,-0.05
8.768,-0.29,-9.79,0.03
8.784,-0.19,-9.88,-0.04
8.8,-0.24,-9.79,-0.01
8.816,-0.34,-9.81,-0.04
8.832,-0.32,-9.85,-0.07
8.848,-0.35,-9.85,-0.01
8.864,-0.3,-9.89,-0.02
8.88,-0.29,-9.86,0.1
8.896,-0.3,-9.78,-0.06
8.912,-0.3,-9.85,-0.23
8.928,-0.28,-9.81,0.04
8.944,-0.35,-9.86,0.01
8.96,-0.19,-9.87,0.11
8.976,-0.32,-9.87,0.03
8.992,-0.28,-9.78,-0.04
9.008,-0.36,-9.78,-0.17
9.024,-0.26,-9.88,-0.06
9.04,-0.32,-9.82,0.03
9.056,-0.3,-9.91,-0.1
9.072,-0.27,-9.77,0.03
9.088,-0.32,-9.78,0.07
9.104,-0.26,-9.85,-0.0
9.12,-0.27,-9.73,-0.07
9.136,-0.27,-9.89,-0.08
9.152,-0.28,-9.86,-0.01
9.168,-0.23,-9.8,0.05
9.184,-0.31,-9.95,0.06
9.2,-0.24,-9.84,-0.04
9.216,-0.35,-9.88,0.05
9.232,-0.19,-9.8,-0.07
9.248,-0.2,-9.85,-0.09
9.264,-0.29,-9.85,-0.08
9.28,-0.22,-9.88,-0.12
9.296,-0.19,-9.94,-0.1
9.312,-0.2,-9.8,-0.11
9.328,-0.23,-9.73,-0.09
9.344,-0.22,-9.96,-0.11
9.36,-0.18,-9.82,-0.01
9.376,-0.23,-9.8,-0.03
9.392,-0.22,-9.84,-0.09
9.408,-0.2,-9.81,-0.01
9.424,-0.27,-9.84,-0.08
9.44,-0.26,-9.81,-0.2
9.456,-0.35,-9.84,-0.0
9.472,-0.29,-9.78,-0.13
9.488,-0.35,-9.83,-0.01
9.504,-0.23,-9.75,-0.11
9.52,-0.18,-9.8,-0.06
9.536,-0.28,-9.9,-0.04
9.552,-0.27,-9.83,-0.04
9.568,-0.35,-9.85,-0.02
9.584,-0.22,-9.87,-0.05
9.6,-0.27,-9.93,-0.07
9.616,-0.27,-9.81,0.02
9.632,-0.24,-9.84,0.04
9.648,-0.27,-9.78,-0.08
9.664,-0.23,-9.85,-0.1
9.68,-0.25,-9.93,-0.13
9.696,-0.27,-9.92,0.05
9.712,-0.23,-9.82,-0.0
9.728,-0.29,-9.86,-0.05
9.744,-0.36,-9.91,-0.06
9.76,-0.24,-9.81,-0.02
9.776,-0.27,-9.9,-0.07
9.792,-0.3,-9.85,0.14
9.808,-0.36,-9.78,-0.03
9.824,-0.35,-9.82,0.0
9.84,-0.31,-9.79,-0.02
9.856,-0.28,-9.8,-0.06
9.872,-0.37,-9.79,-0.1
9.888,-0.18,-9.79,-0.06
9.904,-0.32,-9.84,-0.06
9.92,-0.25,-9.87,0.03
9.936,-0.26,-9.8,-0.05
9.952,-0.18,-9.81,-0.01
9.968,-0.29,-9.83,0.02
9.984,-0.3,-9.77,-0.03
10.0,-0.28,-9.71,0.0
10.016,-0.32,-9.87,-0.06
10.032,-0.17,-9.88,0.12
10.048,-0.2,-9.71,-0.08
10.064,-0.25,-9.9,-0.11
10.08,-0.28,-9.85,0.01
10.096,-0.18,-9.78,-0.01
10.112,-0.19,-9.93,-0.07
10.128,-0.29,-9.82,0.15
10.144,-0.21,-9.84,-0.01
10.16,-0.23,-9.74,-0.05
10.176,-0.28,-9.82,-0.14
10.192,-0.22,-9.98,0.01
10.208,-0.21,-9.86,0.08
10.224,-0.16,-9.86,0.03
10.24,-0.18,-9.81,-0.04
10.256,-0.26,-9.91,0.01
10.272,-0.22,-9.8,-0.19
10.288,-0.18,-9.82,-0.0
10.304,-0.25,-9.8,-0.03
10.32,-0.14,-9.81,0.01
10.336,-0.23,-9.81,0.04
10.352,-0.24,-9.78,0.09
10.368,-0.23,-9.84,0.1
10.384,-0.27,-9.81,-0.11
10.4,-0.27,-9.91,-0.02
10.416,-0.14,-9.83,0.03
10.432,-0.23,-9.77,-0.17
10.448,-0.22,-9.77,-0.0
10.464,-0.29,-9.84,0.01
10.48,-0.3,-9.77,-0.11
10.496,-0.33,-9.81,-0.04
10.512,-0.29,-9.97,-0.02
10.528,-0.23,-9.82,-0.1
10.544,-0.2,-9.92,0.01
10.56,-0.34,-9.81,-0.01
10.576,-0.37,-9.85,-0.02
10.592,-0.21,-9.9,-0.07
10.608,-0.29,-9.73,-0.04
10.624,-0.24,-9.82,-0.14
10.64,-0.22,-9.86,-0.16
10.656,-0.2,-9.9,-0.07
10.672,-0.27,-9.79,0.06
10.688,-0.26,-9.78,-0.03
10.704,-0.32,-9.87,-0.08
10.72,-0.32,-9.83,-0.14
10.736,-0.29,-9.86,-0.1
10.752,-0.36,-9.77,-0.02
10.768,-0.38,-9.81,0.1
10.784,-0.3,-9.82,-0.12
10.8,-0.23,-9.77,0.09
10.816,-0.25,-9.74,0.11
10.832,-0.19,-9.78,0.09
10.848,-0.28,-9.76,0.1
10.864,-0.24,-9.85,0.02
10.88,-0.19,-9.8,-0.03
10.896,-0.17,-9.84,0.09
10.912,-0.25,-9.74,-0.02
10.928,-0.2,-9.91,-0.11
10.944,-0.19,-9.84,-0.02
10.96,-0.23,-9.84,0.03
10.976,-0.2,-9.73,0.13
10.992,-0.21,-9.83,-0.04
11.008,-0.23,-9.79,0.14
11.024,-0.19,-9.83,-0.12
11.04,-0.21,-9.81,0.08
11.056,-0.15,-9.89,-0.19
11.072,-0.18,-9.79,0.04
11.088,-0.19,-9.78,0.03
11.104,-0.2,-9.83,-0.07
11.12,-0.24,-9.87,0.03
11.136,-0.18,-9.79,0.02
11.152,-0.1,-9.84,-0.07
11.168,-0.26,-9.82,-0.02
11.184,-0.2,-9.77,0.09
11.2,-0.13,-9.81,0.13
11.216,-0.12,-9.87,0.06
11.232,-0.16,-9.72,-0.01
11.248,-0.09,-9.92,0.08
11.264,-0.21,-9.82,0.04
11.28,-0.23,-9.77,-0.03
11.296,-0.15,-9.93,0.07
11.312,-0.18,-9.78,0.09
11.328,-0.21,-9.79,0.09
11.344,-0.29,-9.92,-0.05
11.36,-0.21,-9.84,0.06
11.376,-0.19,-9.86,0.11
11.392,-0.33,-9.87,0.01
11.408,-0.23,-9.83,0.02
11.424,-0.28,-9.83,0.09
11.44,-0.23,-9.76,-0.02
11.456,-0.24,-9.88,0.03
11.472,-0.33,-9.79,-0.01
11.488,-0.22,-9.8,0.04
11.504,-0.31,-9.86,-0.12
11.52,-0.24,-9.84,0.01
11.536,-0.27,-9.84,-0.03
11.552,-0.23,-9.77,-0.01
11.568,-0.26,-9.82,-0.0
11.584,-0.3,-9.83,-0.06
11.6,-0.27,-9.78,-0.03
11.616,-0.18,-9.8,-0.05
11.632,-0.28,-9.78,-0.05
11.648,-0.3,-9.86,0.06
11.664,-0.26,-9.81,-0.02
11.68,-0.23,-9.87,0.02
11.696,-0.12,-9.7,-0.08
11.712,-0.29,-9.76,-0.07
11.728,-0.27,-9.74,-0.03
11.744,-0.2,-9.91,-0.05
11.76,-0.19,-9.88,0.07
11.776,-0.26,-9.78,-0.01
11.792,-0.2,-9.78,0.08
11.808,-0.19,-9.86,-0.03
11.824,-0.23,-9.84,0.08
11.84,-0.23,-9.88,-0.08
11.856,-0.16,-9.79,-0.11
11.872,-0.22,-9.78,0.02
11.888,-0.23,-9.81,0.01
11.904,-0.21,-9.81,0.12
11.92,-0.18,-10.04,0.07
11.936,-0.14,-9.82,0.15
11.952,-0.15,-9.96,-0.0
