time (seconds),accelerometer X (m/sec^2 highlighted),accelerometer Y (m/sec^2 highlighted),accelerometer Z (m/sec^2 highlighted)
2.297,0.35,-8.92,-4.42
2.313,-0.98,-9.09,-5.02
2.329,1.28,-8.84,-4.27
2.347,-0.95,-8.91,-4.7
2.363,-0.52,-8.33,-4.75
2.38,0.46,-8.98,-4.52
2.397,-0.7,-8.75,-5.46
2.413,0.83,-8.26,-4.71
2.43,-0.91,-8.56,-4.69
2.447,0.56,-7.84,-4.41
2.463,0.48,-8.6,-4.34
2.48,-1.33,-9.29,-5.21
2.497,0.99,-8.49,-3.93
2.513,-0.5,-8.78,-4.3
2.53,-0.43,-8.15,-4.48
2.547,-0.16,-9.07,-4.34
2.563,-1.01,-8.93,-4.96
2.58,1.34,-7.76,-4.86
2.597,-0.27,-9.07,-4.75
2.613,-0.84,-8.95,-4.6
2.63,0.68,-8.84,-4.16
2.647,-0.62,-9.28,-5.36
2.663,0.14,-7.95,-5.41
2.68,0.22,-9.31,-4.79
2.697,-0.66,-8.21,-4.74
2.713,1.17,-8.12,-4.05
2.729,-0.59,-8.69,-5.31
2.747,0.77,-7.76,-4.88
2.763,0.63,-9.25,-4.56
2.78,-1.3,-8.69,-5.05
2.797,0.82,-8.96,-4.21
2.813,-0.05,-8.67,-4.9
2.83,0.05,-8.02,-5.2
2.846,0.15,-9.06,-4.63
2.863,-0.64,-8.58,-4.91
2.88,1.08,-8.31,-4.04
2.897,-0.34,-8.59,-5.29
2.913,-0.81,-8.65,-5.82
2.93,0.56,-9.17,-4.68
2.947,-1.32,-8.68,-5.13
2.963,0.25,-7.97,-4.48
2.98,-0.15,-8.38,-5.06
2.997,-0.16,-8.09,-5.49
3.013,0.96,-8.66,-4.49
3.03,-0.63,-8.41,-5.15
3.047,-0.79,-8.37,-4.79
3.063,0.28,-8.89,-4.62
3.08,-0.66,-8.6,-5.72
3.097,0.82,-8.17,-4.69
3.113,0.17,-8.4,-4.87
3.13,0.34,-8.16,-4.38
3.147,0.91,-9.03,-4.29
3.163,-1.03,-8.84,-5.8
3.18,0.92,-8.88,-4.44
3.197,0.42,-8.74,-4.88
3.213,-0.9,-8.37,-4.75
3.229,0.48,-8.64,-4.76
3.247,-0.53,-8.48,-5.48
3.263,0.79,-8.23,-4.81
3.28,0.08,-8.26,-5.02
3.297,-1.31,-8.66,-4.85
3.313,0.95,-8.97,-4.36
3.33,-0.86,-8.86,-5.77
3.347,0.01,-8.07,-5.38
3.363,0.38,-8.56,-4.91
3.38,-0.89,-8.29,-4.93
3.397,0.68,-8.4,-4.42
3.412,-0.66,-8.3,-5.84
3.43,0.73,-8.13,-5.02
3.447,0.41,-9.08,-4.83
3.463,-1.23,-8.59,-5.05
3.48,0.92,-8.81,-4.33
3.497,0.09,-8.49,-5.07
3.513,-0.06,-8.22,-5.38
3.53,0.6,-8.99,-4.59
3.547,-0.55,-8.44,-4.75
3.563,1.14,-8.54,-4.02
3.58,-0.56,-8.7,-5.3
3.597,-0.86,-8.76,-5.63
3.613,0.91,-9.19,-4.25
3.63,-1.33,-8.63,-4.65
3.647,0.41,-8.16,-4.27
3.663,-0.09,-8.66,-5.06
3.68,0.27,-8.07,-5.44
3.697,1.14,-8.78,-4.28
3.713,-0.96,-8.49,-4.94
3.729,1.23,-8.41,-4.18
3.747,0.23,-8.89,-4.67
3.763,-0.64,-8.55,-5.78
3.78,0.6,-9.14,-4.38
3.797,-0.59,-8.52,-4.86
3.813,0.65,-8.17,-4.41
3.83,-0.49,-8.8,-4.8
3.847,-1.21,-9.03,-5.45
3.863,1.21,-8.64,-4.17
3.88,-1.22,-8.71,-4.46
3.897,-0.54,-8.49,-4.42
3.913,0.14,-9.04,-4.31
3.93,-0.6,-8.83,-5.21
3.947,1.43,-7.93,-4.35
3.963,-0.51,-8.87,-4.27
3.98,0.8,-7.86,-4.4
3.997,0.53,-8.52,-4.38
4.013,-0.5,-9.42,-5.46
4.03,0.54,-7.87,-5.49
4.047,-0.17,-9.25,-4.58
4.062,-0.56,-8.34,-4.94
4.08,1.27,-7.85,-4.31
4.097,-0.82,-9.23,-5.04
4.112,1.16,-7.52,-4.73
4.13,0.62,-8.96,-4.36
4.147,-1.01,-8.83,-4.64
4.163,1.14,-8.59,-4.44
4.18,0.03,-9.14,-5.08
4.197,0.33,-7.58,-5.6
4.213,0.36,-9.17,-4.4
4.23,-0.7,-9.15,-4.65
4.246,0.99,-7.49,-4.35
4.263,-0.83,-9.4,-5.22
4.279,-0.89,-8.87,-5.66
4.296,-0.06,-8.51,-4.63
4.313,-0.98,-10.13,-4.2
4.33,0.31,-7.39,-4.14
4.347,0.38,-9.76,-4.38
4.363,0.36,-7.55,-5.11
4.38,0.82,-7.42,-4.32
4.397,-0.73,-9.41,-4.91
4.413,0.86,-7.08,-4.53
4.43,0.02,-8.93,-4.52
4.447,-0.14,-9.24,-5.83
4.463,0.91,-8.45,-4.71
4.48,0.26,-9.74,-4.89
4.497,0.71,-7.24,-4.43
4.513,-0.23,-9.46,-4.54
4.53,-0.4,-9.61,-5.17
4.547,1.1,-7.22,-4.54
4.563,-0.09,-9.33,-5.04
4.58,-0.92,-8.92,-4.85
4.597,0.28,-8.65,-4.46
4.613,-0.85,-9.55,-5.78
4.63,0.66,-7.4,-5.4
4.647,-0.05,-9.53,-4.38
4.663,-0.41,-8.08,-4.54
4.68,0.7,-7.53,-4.1
4.697,-0.27,-9.43,-5.34
4.713,0.74,-7.21,-4.67
4.73,0.2,-9.07,-4.22
4.747,-0.83,-9.14,-4.74
4.762,0.21,-7.46,-4.42
4.78,0.17,-9.17,-4.96
4.797,-0.16,-8.21,-5.34
4.813,0.24,-9.33,-4.7
4.83,-0.13,-8.89,-5.05
4.847,0.73,-7.37,-4.34
4.863,0.39,-9.04,-5.63
4.88,-0.25,-9.1,-6.06
4.897,1.46,-8.57,-5.46
4.913,-0.44,-8.76,-5.28
4.93,-0.56,-8.55,-4.34
4.947,0.15,-9.14,-3.94
4.963,-1.15,-9.08,-4.08
4.979,-0.53,-8.24,-4.2
4.997,-0.41,-8.7,-4.84
5.013,-1.02,-8.83,-5.11
5.03,0.9,-8.95,-4.49
5.047,-0.93,-8.91,-4.3
5.063,-0.4,-8.29,-4.43
5.08,-0.1,-9.45,-3.49
5.097,-0.03,-7.96,-5.03
5.113,1.3,-8.18,-4.77
5.13,-1.15,-9.04,-5
5.147,1.17,-7.75,-5.42
5.163,-0.09,-9.52,-3.83
5.18,-1.23,-8.71,-4.15
5.197,0.43,-9.09,-3.9
5.213,-1.24,-9.25,-4.2
5.23,0.33,-8.07,-6.59
5.247,-0.6,-9.2,-4.9
5.263,-0.81,-8.63,-5.09
5.28,0.47,-8.2,-4.85
5.297,-1.24,-8.83,-4.4
5.312,-1.43,-8.74,-5.39
5.33,0.3,-9.16,-4.57
5.347,-1.49,-8.95,-4.03
5.363,-0.15,-8.3,-4.51
5.38,0.18,-9.44,-2.91
5.397,0.03,-8.34,-4.77
5.413,1.56,-8.41,-4.39
5.43,-1.22,-8.96,-3.58
5.447,1.05,-8.49,-4.37
5.462,-0.36,-9.65,-3.44
5.479,-0.45,-8.6,-5.68
5.497,0.19,-9.43,-4.11
5.513,-1.54,-9.32,-3.47
5.53,0.81,-8.12,-5.25
5.547,-1.22,-9.3,-3.04
5.563,-0.85,-9.07,-4.43
5.58,0.21,-8.97,-4.1
5.597,-1.02,-9.63,-3.65
5.613,0.27,-8.59,-5.03
5.63,-0.29,-9.96,-3.75
5.647,-0.28,-11.06,-5.2
5.663,-0.5,-10.45,-5.76
5.68,0.51,-9.29,-4.5
5.697,2.31,-5.97,-5.84
5.713,-0.08,-6.92,-3.22
5.73,-3.28,-7.51,-2.63
5.747,-2.96,-9.37,-2.29
5.763,-0.82,-9.29,-3.27
5.78,-1.23,-8.39,-4.67
5.797,-0.61,-8.7,-3.07
5.813,0.01,-9.18,-3.59
5.83,1.42,-7.32,-5.72
5.847,-0.79,-8.86,-3.47
5.863,-1.34,-7.66,-3.86
5.88,-0.7,-10.17,-1.34
5.897,1.65,-8.55,-4.08
5.913,3.26,-7.75,-5.53
5.93,-0.84,-12.32,-4.71
5.947,2.03,-6.42,-6.05
5.963,1.51,-8.82,-2.69
5.979,-1.84,-9.71,-4.78
5.997,2.91,-6.84,-8.11
6.013,3.57,-10.43,-5.84
6.03,3.7,-8.99,-4.53
6.047,1.43,-9.78,-2.87
6.063,0.02,-9.79,-6.4
6.08,3.04,-6.58,-9.41
6.097,2.87,-7.85,-6.46
6.113,3.84,-8.44,-9.99
6.13,3.67,-6.75,-4.07
6.147,3.16,-8.01,-2.25
6.163,3.57,-7.88,-9.83
6.18,4.53,-5.93,-7.04
6.197,3.55,-7.23,-3.68
6.213,3.81,-7.65,-10.75
6.23,4.45,-4.88,-7.34
6.247,3.37,-6.78,-3.59
6.263,3.8,-7.35,-9.27
6.28,5.51,-4.55,-7.35
6.297,3.69,-6.8,-5.61
6.313,4.82,-7.79,-11.43
6.33,4.67,-4.02,-3.7
6.347,2.85,-6.84,-2.53
6.363,4.1,-6.25,-12.03
6.38,4.94,-4.08,-6.38
6.397,4.21,-6.81,-6.08
6.413,6.04,-6.4,-13.92
6.43,4.58,-4.41,-2.28
6.447,0.49,-8.46,-2.86
6.463,5.97,-4.56,-12.86
6.48,3.03,-5.51,-6.55
6.497,2.47,-8.72,-11.01
6.513,7.48,-4.18,-8.35
6.53,1.97,-8.57,-1.55
6.547,-0.34,-9.37,-6.97
6.563,7.6,-3.64,-9.34
6.58,1.96,-10.12,-8.37
6.597,4.72,-9.15,-13.27
6.613,6.64,-3.42,-3.12
6.63,-1.58,-10.58,-6.24
6.646,1.53,-8.01,-12.1
6.663,4.55,-4.36,-6.49
6.68,3.63,-10.16,-10.51
6.697,6.98,-6.32,-8.37
6.713,2.73,-7.46,-3.49
6.73,3.63,-7.92,-12.46
6.747,5.89,-3.44,-6.59
6.763,-0.15,-9.06,-5.73
6.78,6.18,-5.02,-9.36
6.796,6.85,-4.27,-5.09
6.813,0.36,-10.34,-8.79
6.83,6.73,-4.66,-5.7
6.847,3.63,-7.02,-4.37
6.863,3.19,-8.3,-9.55
6.88,4.35,-4.83,-3.37
6.897,0.92,-8.72,-4.96
6.913,4.08,-7.02,-9.81
6.93,2.42,-7.02,-4.41
6.947,-0.91,-10.51,-8.4
6.963,6.02,-5.46,-5.57
6.98,5.14,-5.75,-3.18
6.997,-0.15,-9.3,-10.28
7.013,6.22,-4.61,-3.79
7.03,1.95,-7.89,-4.09
7.047,2.26,-7.63,-10.64
7.063,4.14,-7.39,-3.06
7.08,-0.4,-10.68,-5.29
7.096,5.76,-6.43,-6.62
7.113,1.44,-9.19,-3.72
7.129,-0.23,-9.7,-8.6
7.146,5.9,-5.06,-3.46
7.163,-1.21,-10.38,-9.28
7.18,1.36,-7.81,-9.54
7.196,4.36,-7.17,-3.8
7.213,1.9,-9.2,-10.55
7.23,5.54,-5.57,-5.42
7.247,1.65,-8.26,-3.68
7.263,2.65,-7.02,-9.56
7.28,5.77,-5.86,-5.13
7.297,-0.35,-10.68,-11.77
7.313,6.1,-5.14,-3.7
7.33,4.75,-6.97,-2.9
7.347,0.79,-8.54,-8.7
7.363,4.69,-5.54,-2.44
7.38,-0.03,-9.23,-5.67
7.397,4.35,-6.63,-8.13
7.413,2.25,-8.29,-3.75
7.43,-0.37,-11.15,-7.81
7.447,5.23,-4.77,-3.65
7.463,-1.24,-10.12,-5.52
7.48,-0.62,-10.8,-10.13
7.497,5.69,-5.26,-3.28
7.513,-0.75,-10.85,-8.83
7.53,3.87,-7.14,-7.33
7.547,3.19,-7.24,-2.32
7.563,-0.21,-9.78,-11.16
7.58,3.96,-5.63,-7.62
7.597,-0.28,-10.03,-6.32
7.613,3.31,-6.89,-7.29
7.629,5.53,-3.51,-2.01
7.647,-1.9,-11.1,-4.54
7.663,4.3,-4.61,-6.83
7.68,6.29,-5.43,-3.1
7.697,-1.63,-11.72,-8.14
7.713,5.95,-4.24,-3.56
7.73,3.45,-8.63,-2.91
7.747,-0.86,-9.57,-10.7
7.763,4.96,-6.01,-3.52
7.78,0.5,-10.32,-5.31
7.797,2.78,-5.37,-6.51
7.813,1.73,-9.61,-3.14
7.83,-2,-11.43,-5.59
7.847,4.89,-4.77,-5.48
7.863,4.14,-7.78,-4.05
7.88,-0.27,-9.44,-9.94
7.897,5.66,-5.87,-3.76
7.913,1.39,-10.11,-3.9
7.93,1.06,-6.78,-6.77
7.947,3.06,-8.37,-3.25
7.963,-0.86,-11.14,-6.59
7.98,4.1,-4.19,-4.49
7.997,0.83,-10.57,-5.98
8.013,-0.2,-10.81,-9.04
8.03,5.84,-6.17,-4.11
8.046,-0.26,-10.14,-7.98
8.063,2.45,-7.5,-6.61
8.08,1.99,-8.11,-4.45
8.097,0.3,-9.21,-8.52
8.113,2.98,-5.38,-5.24
8.13,-0.49,-10.02,-6.71
8.147,3.3,-6.52,-4.9
8.163,4.31,-5.82,-3.19
8.18,-0.94,-10.76,-7.08
8.197,4.85,-4.89,-2.82
8.213,2.18,-8.99,-4.24
8.23,1.81,-8.77,-7.15
8.247,3.79,-7.09,-4.05
8.263,-0.67,-10.73,-6.74
8.28,3.46,-5.43,-4.6
8.297,0.31,-9.28,-5.65
8.313,-1.7,-11.02,-9.33
8.33,4.73,-4.36,-3.89
8.347,-1.52,-11.45,-7.08
8.363,0.17,-9.33,-7.9
8.38,4.54,-6.04,-2.43
8.397,-1.45,-11.2,-7.07
8.413,1.49,-7.47,-6.47
8.43,2.59,-10.1,-5.41
8.447,2.08,-8.8,-7.11
8.463,5.05,-4.62,-3.65
8.48,-0.5,-10.93,-6.14
8.497,2.3,-4.82,-5.86
8.513,4.15,-5.73,-4.26
8.53,-1.86,-11.23,-8.33
8.547,4.38,-5.3,-3.59
8.563,2.57,-9.45,-3.13
8.58,-0.12,-7.82,-6.83
8.597,4.65,-6.59,-3.46
8.613,0.86,-10.96,-4.65
8.63,3.15,-5.55,-7.48
8.647,1.21,-10.56,-4.48
8.663,-1.61,-10.75,-7.8
8.68,4.98,-4.63,-3.33
8.697,-2.47,-10.86,-5.34
8.713,-0.92,-7.77,-8.89
8.73,4.47,-7.27,-3.96
8.747,-1.55,-10.07,-7.96
8.763,3.22,-5.4,-6.13
8.78,1.07,-9.67,-2.84
8.797,0.66,-6.89,-5.51
8.813,5.65,-5.87,-4.34
8.83,-0.97,-11.68,-6.57
8.847,0.7,-9.25,-9.03
8.863,4.18,-8.5,-2.76
8.88,-0.72,-9.54,-5.91
8.897,3.39,-4.58,-5.24
8.913,-0.23,-9.39,-4.38
8.93,1.4,-5.96,-7.12
8.947,5.17,-6.18,-4.39
8.963,-1.72,-10.89,-6.88
8.98,5.39,-5.29,-3.38
8.997,3.08,-8.45,-2.2
9.013,-0.15,-8.85,-8.28
9.03,3.59,-8.96,-3.27
9.046,-0.15,-11.53,-6.61
9.063,3.94,-5.48,-3.3
9.08,1.06,-9.49,-3.31
9.096,-1.56,-9.87,-8.46
9.113,4.69,-6.31,-3.84
9.13,-2.54,-11.07,-8.58
9.147,0.85,-8.7,-6.71
9.163,3.32,-7.56,-2.31
9.18,0.16,-8.76,-6.3
9.197,5.1,-5.5,-3.34
9.213,-0.06,-10.72,-6.78
9.23,3.5,-6.15,-4.05
9.247,5.02,-6.94,-2.32
9.263,-1.61,-10.28,-6.98
9.28,4.45,-5.88,-3.79
9.297,0.92,-8.73,-5.27
9.313,1.02,-7.96,-6.48
9.33,1.91,-8.44,-3.21
9.347,-1.4,-10.66,-5.84
9.363,4.37,-5.69,-3.58
9.38,-0.43,-10.9,-7.66
9.397,0.56,-10.2,-8.9
9.413,4.23,-7.06,-2.5
9.43,-1.34,-10.66,-7.24
9.446,2.69,-5.59,-4.78
9.463,0.13,-9.27,-5.05
9.48,1.54,-6.97,-5.91
9.497,4.45,-5.85,-2.9
9.513,-1.36,-11.62,-6.97
9.53,5.3,-5.9,-3.52
9.547,2.71,-7.48,-3.66
9.563,0.33,-9.17,-7.45
9.58,3.41,-7.45,-2.16
9.597,-0.81,-10.87,-5.32
9.613,3.08,-5.75,-4.62
9.63,0.16,-9.67,-5.75
9.647,-1.34,-10.5,-8.64
9.663,4.32,-6,-2.93
9.68,-1.45,-11.25,-7.4
9.697,2.05,-7.87,-5.61
9.713,2.01,-8.4,-3.16
9.73,-1.34,-11.32,-7.03
9.747,4.48,-5.27,-3.26
9.763,-1.06,-10.88,-6.73
9.78,-0.16,-9.43,-8.02
9.797,2.72,-7.47,-3.29
9.813,-0.82,-10.09,-8.38
9.83,3,-5.37,-3.27
9.846,0.44,-10.06,-2.63
9.863,1.83,-6.84,-6.42
9.879,4.83,-5.76,-3.54
9.897,-1.03,-11.72,-9.32
9.913,4.87,-5.72,-2.01
9.929,1.8,-9.14,-2.67
9.947,0.18,-9.1,-7.91
9.963,2.5,-8.44,-2.93
9.98,-1.64,-11.51,-6.15
9.997,3.77,-4.63,-2.84
10.013,0.21,-10.99,-3.41
10.03,-1.86,-11.5,-7.73
10.047,4.65,-5.67,-3.15
10.063,-0.73,-11.54,-8.29
10.08,2.35,-7.26,-5.03
10.097,1.48,-10.1,-3.14
10.113,1.84,-7.42,-6.26
10.129,4.79,-5,-1.48
10.147,-1.74,-11.01,-5.63
10.163,3.59,-4.11,-2.65
10.18,2.94,-7.79,-2.73
10.197,-1.17,-10.85,-8.49
10.213,4.48,-8.69,-3.4
10.23,0.06,-10.75,-5.78
10.247,3.95,-5.89,-3.24
10.263,-0.22,-10.84,-3.49
10.28,-1.29,-11.15,-6.84
10.296,4.36,-6.36,-2.28
10.313,-1.61,-10.08,-5.74
10.33,0.76,-6.92,-6.21
10.346,2.45,-9.66,-4.85
10.363,1.13,-9.22,-8.72
10.38,5.03,-5.79,-3.93
10.397,0.07,-11.19,-3.43
10.413,3.02,-5.42,-3.59
10.43,3.12,-8.15,-3.06
10.447,-1.33,-10.25,-7.59
10.463,3.96,-6.52,-3.28
10.479,0.8,-10.58,-3.72
10.497,2.33,-5.75,-5.04
10.512,5.26,-7.19,-4.11
10.53,-1.1,-11.18,-7.77
10.547,4.84,-6.2,-2.69
10.563,-1.01,-11.47,-3.4
10.58,1.02,-7.71,-5.39
10.597,1.74,-10.7,-3.92
10.613,2.6,-7.45,-6.49
10.63,3.84,-5.28,-3.28
10.647,-1.18,-10.95,-3.97
10.663,4.34,-5.32,-5.98
10.68,1.54,-8.64,-4.48
10.696,1.9,-8.92,-8.52
10.713,2.8,-10.05,-2.28
10.73,-0.2,-11.84,-1.84
10.747,3.4,-8.69,-6.06
10.763,4.13,-8.47,-1.78
10.78,0.07,-9.77,-3.06
10.797,0.83,-7.21,-3.06
10.813,-0.71,-10.03,-1.15
10.83,1.45,-7.54,-5.26
10.847,-0.25,-9.42,-2.71
10.863,-0.45,-8.66,-3.73
10.88,1.67,-7.13,-6.39
10.897,-0.8,-9.29,-4.68
10.913,-0.3,-9.91,-5.16
10.93,1.98,-8.99,-3.65
10.947,-0.68,-9.28,-2.66
10.963,-0.77,-9.2,-2.59
10.98,-0.1,-9.42,-2.83
10.997,-0.24,-8.35,-3.69
11.013,-0.25,-8.03,-3.98
11.03,-0.25,-9.61,-3.06
11.047,-0.08,-9.34,-2.66
11.063,-0.48,-9.49,-2.23
11.08,-0.97,-9.92,-2.15
11.096,-0.02,-8.6,-2.9
11.113,0.41,-9.49,-2.56
11.13,0.28,-9.91,-2.04
11.146,0.78,-9.29,-2.58
11.163,0.8,-9.62,-2.82
11.18,0.17,-9.31,-3.69
11.196,-0.88,-9.81,-3.55
11.213,-0.96,-10.37,-3.06
11.23,-0.83,-10.2,-2.51
11.246,0.17,-10.52,-2.71
11.263,0.25,-10.03,-2.88
11.28,-0.01,-9.95,-2.75
11.296,-1.17,-10.14,-2.12
11.313,-0.9,-9.27,-1.82
11.33,-1.78,-9.59,-1.26
11.346,-1.91,-10.26,-1.17
11.363,-2.01,-10.09,-1.09
11.38,-1.91,-11.68,-0.55
11.396,-1.9,-11.41,-0.76
11.413,-1.76,-10.7,-0.67
11.43,-1.1,-11.82,-0.85
11.446,-1.6,-10.88,-0.44
11.463,-2.18,-11,-0.27
11.48,-2.88,-10.58,0.47
11.496,-2.02,-9.93,0.7
11.513,-2.79,-11.33,0.5
11.53,-2.45,-10.43,0.16
11.546,-1.87,-10.46,0.02
11.563,-2.13,-10.19,-0.25
11.58,-2.01,-8.43,0.03
11.596,-1.74,-11.39,0.83
11.613,-1.68,-10.51,0.6
11.63,-2.12,-10.76,0.32
11.646,-2.91,-10.34,0.17
11.663,-2.33,-9.64,0.37
11.68,-1.36,-11.66,0.59
11.696,-1.26,-10.32,0.58
11.713,-2.31,-11.06,0.65
11.73,-2.76,-11.06,0.51
11.746,-2.86,-10.71,0.54
11.763,-1.7,-11.48,0.77
11.78,-1.1,-10.82,0.81
11.796,-1.97,-11.76,0.84
11.813,-2.71,-10.76,0.93
11.83,-2.59,-9.06,0.83
11.846,-1.88,-9.77,1.27
11.863,-1.45,-9.67,1.72
11.88,-2.19,-11.38,1.34
11.896,-1.54,-10.7,1.21
11.913,-0.87,-11.74,0.46
11.93,-0.59,-11.36,-0.16
11.946,-0.73,-10.99,0.05
11.963,-1.57,-11.72,0.16
11.98,-2.22,-10.9,0.7
11.996,-2.51,-11.21,1.08
12.013,-1.46,-10.09,1.68
12.03,-2.14,-9.36,1.86
12.046,-1.63,-9.6,1.75
12.063,-1.17,-9.08,1.44
12.08,-1.82,-10.45,0.83
12.096,-1.3,-10.8,0.79
12.113,-0.83,-10.64,-0.17
12.13,-0.36,-10.26,-0.73
12.146,-1.51,-11.25,-1.01
12.163,-0.99,-10.88,-0.82
12.18,0.36,-10.6,-0.97
12.197,0.17,-10.26,-1.11
12.213,-1.38,-9.27,-0.82
12.23,-0.93,-10.39,-0.15
12.246,-0.56,-9.69,0.13
12.263,-1.51,-10.97,0.05
12.28,0.1,-10.11,-0.03
12.297,-0.21,-10.87,-0.31
12.313,-0.05,-9.4,-0.87
12.33,-0.56,-9.67,-1.7
12.347,-0.23,-9.19,-2.09
12.363,0.61,-9.42,-2.79
12.38,0.11,-10.57,-3.58
12.397,0.04,-9.72,-3.84
12.413,0.5,-10.94,-3.82
12.43,1.48,-9.29,-3.16
12.447,0.23,-10.29,-2.41
12.463,0.14,-8.52,-1.84
12.48,0.03,-9.02,-1.68
12.497,0.32,-9.26,-2.01
12.513,-0.3,-9.93,-2.88
12.53,-0.28,-9.96,-3.5
12.547,0.01,-9.23,-3.58
